image_path,artist_label,style_label,genre_label
Impressionism/cornelis-vreedenburgh_loosdrecht.jpg,-1,12,4
Impressionism/james-mcneill-whistler_harmony-in-coral-and-blue-milly-finch.jpg,-1,12,4
Art_Nouveau_Modern/gustav-klimt_nuda-veritas.jpg,-1,3,3
Realism/james-tissot_tombs-in-the-valley-of-hinnom-1889.jpg,-1,21,2
Rococo/jean-honore-fragonard_aurore.jpg,-1,22,5
Northern_Renaissance/lucas-cranach-the-elder_portrait-of-johann-i-the-steadfast-elector-of-saxony.jpg,-1,17,5
Color_Field_Painting/gene-davis_renoir-s-curtain-1977.jpg,-1,5,0
Rococo/pietro-longhi_the-sacrament-of-marriage.jpg,-1,22,5
Impressionism/pierre-auguste-renoir_the-sleeper-1880.jpg,2,12,4
Naive_Art_Primitivism/henri-rousseau_scout-attacked-by-a-tiger-1904.jpg,-1,15,2
Expressionism/jose-gutierrez-solana_trail-traperos.jpg,-1,9,2
Romanticism/john-constable_old-sarum-1829.jpg,-1,23,4
Realism/ilya-repin_portrait-of-maria-osipovna-lowenfeld-1913.jpg,18,21,2
Impressionism/andre-dunoyer-de-segonzac_le-village.jpg,-1,12,4
Realism/mykola-pymonenko_flower-girl-1908.jpg,-1,21,2
Mannerism_Late_Renaissance/titian_portrait-of-cardinal-cristoforo-madruzzo-1552.jpg,-1,13,5
Ukiyo_e/keisai-eisen_no-2-from-the-series-modern-versions-of-the-five-women-t-sei-gonin-onna-1835.jpg,-1,26,1
Fauvism/milton-avery_interlude-1960.jpg,-1,10,2
Impressionism/john-singer-sargent_a-garden-in-corfu-1909.jpg,8,12,4
Abstract_Expressionism/kenzo-okada_footsteps-1954.jpg,-1,0,0
Northern_Renaissance/albrecht-durer_portrait-of-emperor-maximilian-i-1518.jpg,7,17,5
Post_Impressionism/vincent-van-gogh_still-life-with-lemons-on-a-plate-1887.jpg,1,20,4
Realism/ilya-repin_portrait-of-wilhelm-von-bitner-1912.jpg,18,21,2
Impressionism/claude-monet_the-pave-de-chailly-in-the-fontainbleau-forest.jpg,3,12,4
Realism/james-mcneill-whistler_the-coast-of-brittany-aka-alone-with-the-tide.jpg,-1,21,2
Baroque/johannes-vermeer_girl-with-the-red-hat.jpg,-1,4,5
Expressionism/zinaida-serebriakova_portrait-of-the-artist-d-bushena-1922.jpg,-1,9,2
Color_Field_Painting/jack-bush_narrow-image-1963.jpg,-1,5,0
Baroque/canaletto_the-grand-canal-and-the-church-of-the-salute-1730.jpg,-1,4,5
Realism/vincent-van-gogh_sower-with-hand-in-sack-1881-1.jpg,1,21,2
Color_Field_Painting/jack-bush_white-flip-1974.jpg,-1,5,0
Romanticism/francisco-goya_truth-has-died-1814.jpg,-1,23,4
Romanticism/john-atkinson-grimshaw_wooded-valley-probably-bolton-woods-lovers-in-a-woodland-clearing-a-pair.jpg,-1,23,4
High_Renaissance/michelangelo_madonna-and-child-with-the-infant-baptist-1506.jpg,-1,11,5
Impressionism/winston-churchill_view-on-the-river-var.jpg,-1,12,4
Realism/theodore-rousseau_twilight-in-sologne-1867.jpg,-1,21,2
Expressionism/pierre-alechinsky_untitled-from-the-portfolio-with-the-grain-of-the-wood-au-fil-du-bois-1973.jpg,-1,9,2
Baroque/caravaggio_the-seven-works-of-mercy-1607(1).jpg,-1,4,5
Romanticism/gustave-dore_second-assault-of-jerusalem-by-the-crusaders-repulsed-1877.jpg,9,23,4
Impressionism/mary-cassatt_susan-comforting-the-baby-no-2.jpg,-1,12,4
Impressionism/armand-guillaumin_sunset-at-ivry-soleil-couchant-ivry-1873.jpg,-1,12,4
High_Renaissance/pietro-perugino_pieta-between-st-john-and-mary-magdalene.jpg,-1,11,5
Romanticism/george-stubbs_portrait-of-a-monkey-1774.jpg,-1,23,4
Realism/claude-monet_camille-also-known-as-the-woman-in-a-green-dress.jpg,3,21,2
Realism/vasily-vereshchagin_bania-trader-bombay-1876.jpg,-1,21,2
Romanticism/gustave-dore_don-quixote-82.jpg,9,23,4
Impressionism/claude-monet_the-rose-path-giverny-1922.jpg,3,12,4
Expressionism/milton-avery_poetry-reading-1957.jpg,-1,9,2
Art_Nouveau_Modern/nicholas-roerich_sorcerer-1909.jpg,0,3,3
Naive_Art_Primitivism/jules-lefranc_rue-des-teinturiers.jpg,-1,15,2
Expressionism/zinaida-serebriakova_self-portrait-1921.jpg,-1,9,2
Impressionism/edgar-degas_tuileries-the-woman-with-a-parasol-1877.jpg,13,12,4
Impressionism/claude-monet_seine-at-rouen-1872.jpg,3,12,4
Impressionism/camille-pissarro_the-pont-boieldieu-rouen-sunset-1896.jpg,5,12,4
Impressionism/camille-pissarro_peasant-woman.jpg,5,12,4
Post_Impressionism/maurice-prendergast_portrait-of-a-young-girl.jpg,-1,20,4
Color_Field_Painting/sam-francis_untitled-1964-1.jpg,-1,5,0
Impressionism/edgar-degas_the-false-start.jpg,13,12,4
Impressionism/claude-monet_small-branch-of-the-seine-1878.jpg,3,12,4
Impressionism/willard-metcalf_the-poppy-field.jpg,-1,12,4
Baroque/rembrandt_balaam-s-ass-1626.jpg,11,4,5
Romanticism/caspar-david-friedrich_not-detected-7.jpg,-1,23,4
Impressionism/berthe-morisot_woman-with-a-child-in-a-boat.jpg,-1,12,4
Romanticism/caspar-david-friedrich_clipping-iceberg.jpg,-1,23,4
Expressionism/arturo-souto_still-life-with-harlequin-1960.jpg,-1,9,2
Impressionism/iosif-iser_houses-in-bucharest.jpg,-1,12,4
Art_Nouveau_Modern/koloman-moser_a-crouching-woman.jpg,-1,3,3
Realism/edouard-manet_fishing-boat-coming-in-before-the-wind-the-kearsarge-in-boulogne-1864.jpg,-1,21,2
Expressionism/amedeo-modigliani_portrait-of-frank-haviland-burty-1914.jpg,-1,9,2
Art_Nouveau_Modern/nicholas-roerich_girl-1913.jpg,0,3,3
Romanticism/thomas-cole_study-for-the-pilgrim-of-the-world-on-his-journey-1848.jpg,-1,23,4
Impressionism/william-merritt-chase_my-daughter-dorothy.jpg,-1,12,4
Cubism/olexandr-archipenko_in-the-cafe-woman-with-cup.jpg,-1,7,0
Realism/john-singer-sargent_mrs-elliott-fitch-shepard-also-known-as-margaret-louise-vanderbilt-1888.jpg,8,21,2
Northern_Renaissance/bernhard-strigel_portrait-of-the-cuspinian-family.jpg,-1,17,5
Romanticism/eugene-delacroix_horses-running(1).jpg,-1,23,4
Rococo/dmitry-levitzky_ivan-glebov-oscherin-1770.jpg,-1,22,5
Symbolism/akseli-gallen-kallela_the-storm-1902.jpg,-1,24,6
Impressionism/eugene-boudin_deauville-the-jetty.jpg,19,12,4
Impressionism/federico-zandomeneghi_lady-in-a-meadow.jpg,-1,12,4
Synthetic_Cubism/juan-gris_fruit-bowl-with-bottle.jpg,-1,25,0
Impressionism/childe-hassam_the-old-fairbanks-house-dedham-massachusetts.jpg,20,12,4
Impressionism/joaquã­n-sorolla_after-bathing-valencia-1908.jpg,-1,12,4
Baroque/paul-bril_the-stag-hunt-1595.jpg,-1,4,5
Realism/constant-troyon_cow-chased-by-a-dog.jpg,-1,21,2
Post_Impressionism/vincent-van-gogh_garden-with-flowers-1888-2(1).jpg,1,20,4
Realism/john-singer-sargent_mrs-charles-e-inches-louise-pomeroy-1887.jpg,8,21,2
Impressionism/pierre-auguste-renoir_mixed-flowers-in-an-earthware-pot-1869.jpg,2,12,4
Post_Impressionism/periklis-vyzantios_still-life-with-brushes.jpg,-1,20,4
High_Renaissance/titian_marriage-with-vesta-and-hymen-as-protectors-and-advisers-of-the-union-of-venus-and-mars.jpg,-1,11,5
Baroque/anthony-van-dyck_the-vision-of-st-anthony-1629.jpg,-1,4,5
Realism/vincent-van-gogh_baskets-of-potatoes-1885(1).jpg,1,21,2
Naive_Art_Primitivism/fernando-botero_adam-and-eve-eve.jpg,-1,15,2
Realism/robert-brackman_life-still-life-3.jpg,-1,21,2
Cubism/olexandr-archipenko_coquette-1950.jpg,-1,7,0
Romanticism/william-turner_hero-and-leander-s-farewell.jpg,-1,23,4
Post_Impressionism/vincent-van-gogh_memory-of-the-garden-at-etten-1888.jpg,1,20,4
